what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1518302002876
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1518302002929
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1518302012319
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1518302012508
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1518302012513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302014513
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1518302020753
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1518302022770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302022845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302022894
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1518302029558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302029570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302036382
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302067536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302073228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302079119
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302079154
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1518302089409
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302089436
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1518302095255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302095315
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302099656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302108165
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1518302109000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518302109026
