what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959690517
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1517959692382
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1517959692390
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1517959692481
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1517959693886
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1517959693913
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1517959693919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959696282
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1517959697275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959697283
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1517959697294
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1517959697808
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1517959697811
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1517959697813
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959699168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959917848
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1517959918698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959919115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959919756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959925726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959940813
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959945949
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1517959946529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959946535
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959946987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959949455
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1517959953170
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1517959953181
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1517959962726
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1517959965122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959965320
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1517959966485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1517959966485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959966512
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1517959969124
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1517959971374
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1517959971374
