what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401088765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518401091100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518401095543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518401098185
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518401101185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401103064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401103924
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401104934
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401106320
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401112555
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401128580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401136390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401137566
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401138620
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401139931
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401146099
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401176814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401187484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401188528
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401189557
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401190911
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401197128
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401231743
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518401234540
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518401236104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401237652
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401238632
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401239736
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401241086
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401247306
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401264541
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518401265919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401274942
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401276014
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401277045
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401278403
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401284584
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401336031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401367817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401369124
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401370165
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401371510
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401377705
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401393458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401401455
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401401508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401422297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401423869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401424763
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401425068
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401426399
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401432592
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401466497
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401466532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401513905
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401515888
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401516939
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401518300
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401524479
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401548389
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401649653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401650619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401651121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401652285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401661694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401662624
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401664359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401664570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401665101
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401665132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401701793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401710084
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1518401737014
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518401775324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518401777199
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518401785749
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518401787700
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401791686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401792507
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401793612
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401794997
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401801180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401834311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401835696
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401835741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401855083
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401856352
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401857468
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401858811
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401865017
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401895560
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401906886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401907819
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401908885
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401910272
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401916464
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518401935819
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518401960241
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1518401960448
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401964392
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401968710
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401980152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518401981012
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401982030
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518401983389
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518401989596
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518402583360
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1518402584974
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1518402585918
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1518402586170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1518402587405
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1518402592768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1518402593025
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.add.block.comment",1518402611417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402612648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402613501
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402614547
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518402615904
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402622072
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518402638150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1518402795044
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1518402797804
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1518402804771
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1518402806994
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1518402807262
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1518402807446
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1518402807653
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1518402807833
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1518402808012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402816486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402817577
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402818595
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518402819927
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402826107
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518402882286
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1518402884714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1518402884900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402886865
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402887860
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402888915
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518402890268
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402896483
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518402923776
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402931024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402931888
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402932938
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518402934284
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402940464
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518402957019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402963783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518402964654
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402965821
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518402967186
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518402973397
