what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316850816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316850856
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1518316865814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316865827
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1518316869353
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1518316869354
error,log,,,"The system console model is invalid. Cannot launch.",1518316874497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316874590
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316877568
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316880161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316902444
error,log,,,"The system console model is invalid. Cannot launch.",1518316910070
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316910124
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316915970
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1518316931303
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1518316935927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316936254
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316942630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316942976
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316943565
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1518316945735
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316946087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316946635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316953928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518316958048
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1518317334221
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1518317334224
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1518317334225
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1518317334227
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1518317334227
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1518317334229
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1518317334231
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1518317334233
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1518317334238
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1518317334240
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1518317334242
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1518317334243
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1518317334244
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1518317334246
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1518317334247
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1518317334247
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1518317334248
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1518317334248
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1518317334248
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1518317334249
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1518317334249
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1518317334250
