what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1518485941802
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1518485941803
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1518485941803
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1518485941803
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1518485941803
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1518485941803
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1518485941804
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1518485941804
os,sysinfo,,,"linux",1518485941806
arch,sysinfo,,,"x86",1518485941806
ws,sysinfo,,,"gtk",1518485941806
locale,sysinfo,,,"en_US",1518485941806
processors,sysinfo,,,"4",1518485941806
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1518485941806
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1518485941806
java.specification.name,sysinfo,,,"Java Platform API Specification",1518485941806
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1518485941806
java.specification.version,sysinfo,,,"1.6",1518485941806
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1518485941806
java.version,sysinfo,,,"1.6.0_23",1518485941806
java.vm.info,sysinfo,,,"mixed mode",1518485941806
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1518485941806
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1518485941806
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1518485941806
java.vm.specification.version,sysinfo,,,"1.0",1518485941806
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1518485941806
java.vm.version,sysinfo,,,"19.0-b09",1518485941806
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1518485943128
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518485943598
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518485943683
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/dlcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518485943760
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/elcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518485943762
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1518485944129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518485944193
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518485945124
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1518485945372
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1518485947827
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1518485947859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518485947899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518485951994
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1518485954160
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1518485954165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518485955643
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/dlcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518485955699
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/elcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518485955700
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1518485957114
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1518485957125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518485957127
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1518485957585
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1518485957586
opened,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518485958349
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1518485958662
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1518485958671
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 7-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1518485959691
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518485964656
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518486008102
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518486019606
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518486019686
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518486058128
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518486104059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518486111109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518486112728
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/dlcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518486112778
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/elcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518486112780
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518486113715
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518486114547
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 7-2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1518486115433
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518486119921
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1518486124998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518486132184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518486133437
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/dlcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518486133463
error,log,,,"The URL ""bundleentry://204.fwk11541827/icons/full/elcl16/synced.gif"" could not be extracted probably due to insufficient permissions or insufficient disk space.",1518486133464
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1518486134354
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1518486135183
